DATE,CATEGORY,NAME,UNITS,TOTAL_PRICESELL,PROFIT
2016-09-30,capsicum,Hungarian Capsicum,1.8639999999999999,9.30136,9.30136
2016-09-30,carrots,Carrots 1kg,173.0,257.7700000000005,119.36999999999975
2016-09-30,coconut Products,Chick Peas 1kg Pattu,2.0,7.98,3.58
2016-09-30,markdown bag,Mark down Bag ***,40.0,40.0,40.0
2016-09-30,trutaste,Pistachios Salted 350g,3.0,30.0,0.2999999999999989
2016-10-31,Apples,Apple Granny smith 2kg Bags,3.0,13.5,4.5
2016-10-31,Asian Vegies,bitter melon,10.342,46.539,-5.171000000000002
2016-10-31,Avocadoes,Avocado Hass Medium,160.0,318.4000000000003,-161.60000000000002
2016-10-31,Bananas,Banana Cavendish,1430.6559999999986,2847.0054400000013,-14.306560000000033
2016-10-31,Berries,Berries Strawberry (large),40.0,152.00000000000003,18.799999999999997
2016-10-31,Bunch Vegies,Red Radish bunch,10.0,18.000000000000004,-7.0
2016-10-31,Cabbages,Cabbage Wombok,18.0,27.0,-40.5
2016-10-31,Chillies,Chilli Green long bullhorm,3.14,21.948600000000003,7.818599999999999
2016-10-31,Citrus,Tangelos,4.816000000000001,9.58384,4.76784
2016-10-31,Cucumbers,Cucumber continental,427.0,640.5,640.5
2016-10-31,Cut Fruits,Rockmelon Half,86.0,86.0,0.0
2016-10-31,Cut Veggies,cabbage  quater green ,1.0,1.7,1.7
2016-10-31,Eggs,Supiri Keeri Samba5kg,8.0,132.0,32.0
2016-10-31,Flowers,Bunch Roses,2.0,18.0,2.0
2016-10-31,Fruits,Kensington Pride Mango,61.078,122.15600000000002,122.15600000000002
2016-10-31,Grapes,Crimson Grapes,79.77199999999998,398.06228,398.06228
2016-10-31,Groceries-Dry Goods,Rice Crackers 100g,1.0,1.49,0.51
2016-10-31,Herbs,Rosemary,1.0,3.5,3.5
2016-10-31,Kalamata olives,Virgin olive oil 1Lt,1.0,12.99,1.99
2016-10-31,Lettuces,Lettuce Salad mix loose,14.139999999999995,169.67999999999998,0.0
2016-10-31,Melons,Piel de Sapo Melon,9.0,26.910000000000004,-0.08999999999999808
2016-10-31,Multi buy, Artichoke 2 For 3,17.0,51.0,-10.2
2016-10-31,Mushrooms,Mushroom flat ,15.584,155.68416,155.68416
2016-10-31,Nuts,Clove 50g Kandyan,1.0,3.36363636363636,0.8636363636363598
2016-10-31,Olympian Products,Dry East 125g,1.0,2.19,0.69
2016-10-31,Onions,Garlic 500g,3.0,7.470000000000001,1.4700000000000006
2016-10-31,Other Fruits,Quinces,1.08,5.3892000000000015,5.281200000000001
2016-10-31,Other Vegies,Artichoke Purple,115.0,230.0,0.0
2016-10-31,Pastas,Bucatini No.6,2.0,2.4,2.4
2016-10-31,Pears,Pear Nashi,45.204,135.15996000000004,-45.65603999999998
2016-10-31,Potatoes,Brushed Potatoes 5kg bag,42.0,209.5800000000001,20.580000000000027
2016-10-31,Pumpkins,Wijaya fish curry Powder 70g,3.0,5.97,2.67
2016-10-31,Root Vegies,Turmeric,0.22,5.5,-4.4
